Id,Label,nome,attribute,categoria,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
130p,Antonio Narducci,Antonio Narducci,8,Performer,51,7,0.298286,0.318237,113.988678,0.018235
131p,Antonio Pellegrinato,Antonio Pellegrinato,2,Performer,145,8,0.265021,0.282463,0,0.005388
132p,Antonio Pocaterra,Antonio Pocaterra,1,Performer,179,7,0.313942,0.348331,0,0.062663
133p,Antonio Tonini,Antonio Tonini,4,Performer,179,7,0.304492,0.331373,0,0.024239
134p,Antonio Zarbini,Antonio Zarbini,4,Performer,179,7,0.299442,0.330053,45.674564,0.031045
135p,Archie Savage,Archie Savage,11,Performer,115,1,1,1,0,0.001078
136p,Arlene Saunders,Arlene Saunders,2,Performer,83,8,0.262144,0.279922,0,0.005381
1919p,Arlette Eggman,Arlette Eggman,1,Performer,179,8,0.301075,0.329851,23.502283,0.030858
137p,Armanda Bonato,Armanda Bonato,9,Performer,179,7,0.29682,0.326128,10.784636,0.0286
138p,Armando Borlenghi,Armando Borlenghi,2,Performer,14,8,0.262179,0.280181,0,0.005637
139p,Armando Celso,Armando Celso,68,Performer,61,8,0.208865,0.217152,14.587532,0.00239
140p,Armando Gatto,Armando Gatto,5,Performer,14,7,0.333448,0.366594,4303.261397,0.087222
141p,Arnaldo Ninchi,Arnaldo Ninchi,44,Performer,273,7,0.258704,0.269329,0,0.003566
142p,Arrigo Pelliccia,Arrigo Pelliccia,1,Performer,179,7,0.304013,0.332018,0.193857,0.035233
143p,Ars Antiqua,Ars Antiqua,1,Performer,78,1,1,1,0,0.000222
144p,Ars Nova,Ars Nova,1,Performer,15,0,0,0,0,0
1920p,Art Farmer,Art Farmer,1,Performer,126,3,0.483871,0.577778,0,0.001312
145p,Art Taylor,Art Taylor,2,Performer,34,2,0.857143,0.916667,0,0.001528
146p,Arthur Gold,Arthur Gold,1,Performer,179,8,0.30531,0.336097,0,0.042875
147p,Arthur Mackenzie,Arthur Mackenzie,1,Performer,179,7,0.29921,0.32654,0,0.036647
148p,Arthur Rosenberg,Arthur Rosenberg,2,Performer,3,8,0.292772,0.319327,0.142857,0.021732
149p,Arthur Rubinstein,Arthur Rubinstein,4,Performer,179,7,0.33414,0.372443,15.723386,0.125145
150p,Arturo Benedetti Michelangeli,Arturo Benedetti Michelangeli,9,Performer,179,6,0.369266,0.40911,776.692839,0.21777
151p,Arturo Testa,Arturo Testa,1,Performer,92,8,0.231377,0.245518,4.439556,0.003953
1921p,Asmara,Asmara,1,Performer,277,1,1,1,0,0.000222
152p,Associazione Nazionale Alpini,Associazione Nazionale Alpini,1,Performer,16,0,0,0,0,0
153p,Athos Ceroni,Athos Ceroni,7,Performer,17,0,0,0,0,0
154p,Attilio Pecile,Attilio Pecile,1,Performer,179,8,0.311462,0.344551,15.531243,0.049602
155p,Audrey June,Audrey June,7,Performer,92,7,0.23146,0.23948,0,0.001907
156p,Augusto Frati,Augusto Frati,3,Performer,51,8,0.276712,0.298945,0,0.010476
1922p,Aureliano Arcidiacono,Aureliano Arcidiacono,1,Performer,179,7,0.292905,0.316891,0,0.024511
157p,Aurelio Fierro,Aurelio Fierro,1,Performer,92,8,0.215721,0.224025,0,0.00075
158p,Aurora Banfi,Aurora Banfi,61,Performer,61,8,0.213575,0.224689,5869.384859,0.002691
160p,Aurora Cattelani,Aurora Cattelani,16,Performer,179,7,0.284536,0.305144,24.47475,0.021452
161p,Aurora Trampus,Aurora Trampus,26,Performer,61,8,0.20934,0.217693,0.5,0.002615
162p,Avaro Bertani,Avaro Bertani,1,Performer,128,2,0.857143,0.916667,0,0.001528
163p,Ave Ninchi,Ave Ninchi,74,Performer,290,9,0.190195,0.200523,0,0.001625
164p,Aviva Bonstein,Aviva Bonstein,1,Performer,179,7,0.326351,0.35908,0,0.060181
165p,Ballet-Theatre de Paris,Ballet-Theatre de Paris,2,Performer,153,1,1,1,0,0.000474
166p,Balletto Beriozka,Balletto Beriozka,3,Performer,18,0,0,0,0,0
167p,Balletto caucasico della repubblica georgiana,Balletto caucasico della repubblica georgiana,12,Performer,19,0,0,0,0,0
168p,Balletto Nazionale Messicano,Balletto Nazionale Messicano,12,Performer,20,0,0,0,0,0
169p,Barbara Geiser-Peyer,Barbara Geiser-Peyer,1,Performer,47,8,0.234267,0.24803,0,0.001979
170p,Barbara Manford,Barbara Manford,3,Performer,51,8,0.2749,0.296478,0,0.009117
171p,Barbara Miller,Barbara Miller,1,Performer,94,1,1,1,0,0.000474
172p,Barney Wilen,Barney Wilen,2,Performer,92,7,0.257291,0.269066,3.085808,0.004551
173p,Bayanihan Philippine Company,Bayanihan Philippine Company,11,Performer,21,0,0,0,0,0
174p,Beniamino Maggio,Beniamino Maggio,2,Performer,235,8,0.230027,0.243218,3860,0.001038
175p,Benny Joy,Benny Joy,1,Performer,22,1,1,1,0,0.001078
176p,Beppe Moietta,Beppe Moietta,1,Performer,92,8,0.231377,0.245518,4.439556,0.003953
177p,Bernard Haykink,Bernard Haykink,1,Performer,67,1,1,1,0,0.000222
178p,Bernhard Conz,Bernhard Conz,1,Performer,179,7,0.303202,0.324004,0,0.032687
179p,Bertolini,Bertolini,2,Performer,7,7,0.286732,0.306458,0,0.011875
180p,Bettina Brahn,Bettina Brahn,1,Performer,151,1,1,1,0,0.000222
181p,Betty Curtis,Betty Curtis,1,Performer,92,8,0.211958,0.220981,0,0.001581
183p,Biancamaria Casoni,Biancamaria Casoni,15,Performer,179,7,0.330595,0.373326,3085.490404,0.12069
184p,Big Boy Rock,Big Boy Rock,2,Performer,71,1,1,1,0,0.000474
185p,Big John Taylor,Big John Taylor,1,Performer,22,1,1,1,0,0.001078
186p,Bill Coleman,Bill Coleman,3,Performer,50,6,0.294118,0.435,0,0.000504
187p,Bill Haley and His Comets,Bill Haley and His Comets,3,Performer,92,9,0.199155,0.20605,0,0.000478
188p,Bill Miller,Bill Miller,2,Performer,92,6,0.314351,0.329771,257.320052,0.015092
189p,Billi e i suoi diabolici,Billi e i suoi diabolici,3,Performer,92,8,0.20167,0.209895,0,0.001487
190p,Billie Holiday,Billie Holiday,3,Performer,92,7,0.26513,0.27702,492.105537,0.00497
191p,Birgit Nilsson,Birgit Nilsson,2,Performer,179,7,0.300888,0.330071,0,0.03163
192p,Blau Bar,Blau Bar,1,Performer,179,8,0.328236,0.368533,1035.978161,0.116531
193p,Blockbusters,Blockbusters,1,Performer,22,1,1,1,0,0.001078
194p,Bob Azzam,Bob Azzam,50,Performer,104,1,1,1,7.5,0.001177
195p,Bob Brookmayer,Bob Brookmayer,2,Performer,126,2,0.625,0.7,0.2,0.002041
196p,Bob Castella,Bob Castella,3,Performer,23,1,1,1,0,0.000474
197p,Bob Cooper,Bob Cooper,1,Performer,37,1,1,1,0,0.000222
198p,Bob Kennedy,Bob Kennedy,2,Performer,203,1,1,1,0,0.000222
199p,Bob Vinci,Bob Vinci,3,Performer,92,9,0.187993,0.197718,40.131349,0.000909
200p,Bobby Jaspar,Bobby Jaspar,1,Performer,92,8,0.213788,0.222666,0.2,0.002746
201p,Bonifacio Bianchi,Bonifacio Bianchi,1,Performer,179,7,0.298332,0.32397,0,0.032042
202p,Boris Christoff,Boris Christoff,16,Performer,179,7,0.30735,0.337006,252.423625,0.039242
203p,Bovisa New Orleans Jazz Band,Bovisa New Orleans Jazz Band,2,Performer,179,9,0.237113,0.251344,1931,0.001837
204p,Bronislaw Gimpel,Bronislaw Gimpel,1,Performer,179,7,0.323672,0.354193,22.404759,0.060566
205p,Bruna Lalli,Bruna Lalli,3,Performer,92,7,0.270134,0.285598,9.755581,0.008226
206p,Bruna Rizzoli,Bruna Rizzoli,7,Performer,179,7,0.335591,0.375319,503.612436,0.107873
207p,Bruna Urbani,Bruna Urbani,1,Performer,92,8,0.215794,0.222158,0,0.000635
208p,Bruno Amaducci,Bruno Amaducci,1,Performer,179,8,0.311211,0.344404,0,0.054691
209p,Bruno Bartoletti,Bruno Bartoletti,15,Performer,179,7,0.32008,0.356772,2747.369055,0.075913
210p,Bruno Camus,Bruno Camus,1,Performer,179,7,0.313993,0.345143,0,0.047858
211p,Bruno Canino,Bruno Canino,21,Performer,179,7,0.376095,0.424151,11561.697938,0.344898
212p,Bruno De Lucia,Bruno De Lucia,2,Performer,247,9,0.186992,0.196338,0,0.001944
213p,Bruno De Marchi,Bruno De Marchi,14,Performer,149,1,1,1,0.2,0.001802
214p,Bruno Giuranna,Bruno Giuranna,2,Performer,179,7,0.317659,0.346511,34.180221,0.058865
215p,Bruno Maderna,Bruno Maderna,8,Performer,179,6,0.351656,0.384852,5369.036644,0.113069
216p,Bruno Marangoni,Bruno Marangoni,1,Performer,179,8,0.298148,0.324106,49.937506,0.027011
217p,Bruno Martino,Bruno Martino,18,Performer,24,1,1,1,0,0.000222
218p,Bruno Martinotti,Bruno Martinotti,6,Performer,179,7,0.338591,0.377191,13314.65992,0.121171
219p,Bruno Mezzena,Bruno Mezzena,1,Performer,179,7,0.319444,0.354048,5.147705,0.067687
220p,Bruno Prevedi,Bruno Prevedi,2,Performer,179,8,0.228288,0.241663,0,0.001283
221p,Bruno Quirinetta,Bruno Quirinetta,1,Performer,25,0,0,0,0,0
222p,Bruno Rosettani,Bruno Rosettani,6,Performer,165,1,1,1,0,0.000222
223p,Bruno Salvi,Bruno Salvi,3,Performer,179,7,0.324651,0.360691,32.747777,0.069393
224p,Bruno Vitali,Bruno Vitali,2,Performer,179,7,0.318602,0.356513,170.951293,0.084189
225p,Bruno Wassil,Bruno Wassil,1,Performer,179,8,0.292461,0.319724,0,0.018005
226p,Buck Clayton,Buck Clayton,4,Performer,264,4,0.388889,0.52381,132.2,0.002356
227p,Bud Powell,Bud Powell,2,Performer,34,1,1,1,0.2,0.001802
228p,Bud Shank,Bud Shank,1,Performer,26,0,0,0,0,0
229p,Buddy Clark,Buddy Clark,5,Performer,126,2,0.75,0.833333,20.866667,0.003085
230p,Buddy Collette,Buddy Collette,3,Performer,92,7,0.264875,0.277822,171.601011,0.006209
231p,Buddy Tate,Buddy Tate,2,Performer,264,5,0.297872,0.42619,0.2,0.001839
232p,Buster Smith,Buster Smith,24,Performer,92,7,0.259608,0.273387,1762.596538,0.006782
233p,Byron Janis,Byron Janis,2,Performer,179,7,0.320239,0.357269,0,0.073905
234p,Caballeros di Spagna,Caballeros di Spagna,3,Performer,275,1,1,1,0,0.000222
235p,Calvin Lockhart,Calvin Lockhart,11,Performer,115,1,1,1,0,0.001078
236p,Caly Boys,Caly Boys,2,Performer,235,9,0.187064,0.194482,1931,0.000469
237p,Cantacronache,Cantacronache,1,Performer,27,0,0,0,0,0
238p,Capozzi-Nucci,Capozzi-Nucci,1,Performer,172,1,1,1,0,0.000222
239p,Carl Bini,Carl Bini,2,Performer,179,7,0.304156,0.334834,0,0.038675
240p,Carl Schuricht,Carl Schuricht,1,Performer,179,7,0.314914,0.348933,0,0.054185
241p,Carla Civaschi,Carla Civaschi,1,Performer,28,0,0,0,0,0
242p,Carla Drivet,Carla Drivet,1,Performer,179,7,0.313942,0.348331,0,0.062663
243p,Carla Fracci,Carla Fracci,15,Performer,179,7,0.330709,0.362859,305.92404,0.097086
244p,Carla Macelloni,Carla Macelloni,33,Performer,290,9,0.202835,0.212061,0,0.001514
245p,Carla Otta,Carla Otta,4,Performer,145,7,0.289048,0.307882,0,0.011011
246p,Carla Ragni,Carla Ragni,2,Performer,288,1,1,1,0,0.000474
247p,Carla Riva,Carla Riva,92,Performer,92,8,0.23518,0.250259,3922.289229,0.004994
248p,Carla Weber Bianchi,Carla Weber Bianchi,1,Performer,51,8,0.269118,0.287339,5.067853,0.009063
249p,Carlo Biagi,Carlo Biagi,1,Performer,92,7,0.251989,0.262453,13.98286,0.003139
250p,Carlo Camerini,Carlo Camerini,3,Performer,244,8,0.250974,0.267776,0,0.003067
251p,Carlo Campanini,Carlo Campanini,20,Performer,290,10,0.171034,0.177782,0,0.000936
252p,Carlo Cataneo,Carlo Cataneo,14,Performer,81,1,1,1,0,0.001078
253p,Carlo Cava,Carlo Cava,5,Performer,179,7,0.301781,0.332227,24.914524,0.037796
254p,Carlo Damevino,Carlo Damevino,1,Performer,179,8,0.297964,0.325512,0,0.030893
255p,Carlo Dapporto,Carlo Dapporto,156,Performer,290,8,0.229018,0.246619,11200.670685,0.006206
256p,Carlo Eduardi,Carlo Eduardi,1,Performer,233,8,0.262144,0.279922,0,0.005054
257p,Carlo Emanuele Ricordi,Carlo Emanuele Ricordi,1,Performer,179,7,0.326682,0.363339,0,0.071626
